playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
#FlashbackFriday,0.15485364799999998,0.6523200000000001,253792.9,0.6730360000000002,0.002341861,0.164062,-6.598940000000002,47.06,0.07640599999999999,112.31442000000003,0.57172,0,1.0,307,50,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
#Hotmess,0.03612359958333333,0.5219999999999999,214560.04166666666,0.7901666666666668,0.11660677458333334,0.17033333333333334,-5.6557499999999985,40.583333333333336,0.062429166666666674,134.460625,0.5842499999999999,0,1.0,53,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
#JazzAppreciationMonth,0.8784500000000002,0.48865,244925.6,0.19913150000000004,0.2837460225000001,0.14917249999999996,-14.996600000000006,39.175,0.04721500000000001,114.672325,0.3656749999999999,0,1.0,264,40,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
#MakeitHappen,0.11000183333333331,0.6474333333333333,220558.7,0.7041,0.0012033583333333332,0.16468666666666673,-5.458866666666667,55.4,0.08015333333333333,118.84349999999999,0.5292,0,1.0,52,30,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
#MetalMonday,0.00047821866666666657,0.36569999999999997,302320.4666666667,0.9394666666666668,0.3313449136666667,0.27182333333333336,-4.841533333333332,15.9,0.09879000000000002,121.09383333333334,0.19298333333333334,0,1.0,476,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
#SundayFunday,0.08801032075471697,0.688811320754717,224977.5849056604,0.754188679245283,0.0039986373584905656,0.16656792452830188,-4.9205849056603785,54.679245283018865,0.0754811320754717,118.68247169811325,0.6195283018867926,0,0.0,636,53,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
#ThankATeacher,0.42508183928571425,0.5919464285714285,242494.25,0.5355374999999999,0.046468536250000005,0.2290857142857142,-8.345785714285714,26.25,0.33636964285714294,117.50223214285714,0.5732107142857142,0,1.0,859,56,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
#ThrowbackThursday,0.39163613636363637,0.5854090909090908,215829.5340909091,0.5710681818181815,0.00529829125,0.17457045454545456,-10.033181818181818,62.81818181818182,0.049088636363636355,119.94859090909087,0.6997272727272728,0,1.0,1444977,88,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
'Round Midnight,0.8961363636363635,0.4729999999999999,346080.4090909091,0.11489090909090907,0.49407181818181806,0.1278590909090909,-19.27313636363636,43.22727272727273,0.03971363636363636,108.38413636363634,0.17945909090909093,0,1.0,1530,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
(Descent) A Beginning,0.9068695652173911,0.2161304347826087,560991.5652173914,0.07572069565217392,0.9078260869565217,0.1285304347826087,-28.207956521739128,35.78260869565217,0.04351739130434782,100.02691304347827,0.08673478260869565,0,1.0,87,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0110,0.28350290909090914,0.3938181818181818,262720.0,0.5776363636363637,0.27315600909090915,0.12930454545454545,-8.916136363636362,57.90909090909091,0.04834545454545455,118.03468181818184,0.3370909090909091,0,1.0,3546,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
